Date,Time,Open,High,Low,Close,Volume
12/27/2024,10:30 AM,7.02,7.06,6.51,6.844,151930
12/27/2024,10:45 AM,6.81,7.23,6.8,7.0063,70519
12/27/2024,11:00 AM,7.05,7.7699,7.0001,7.72,154470
12/27/2024,11:15 AM,7.5733,7.75,7.26,7.4515,50902
12/27/2024,11:30 AM,7.5874,7.8,7.488,7.69,180038
12/27/2024,11:45 AM,7.7,8.0531,7.6997,7.89,122072
12/27/2024,12:00 PM,7.8079,7.89,7.4347,7.7488,39287
12/27/2024,12:15 PM,7.72,7.84,7.54,7.64,27579
12/27/2024,12:30 PM,7.64,7.7,7.4,7.45,35710
12/27/2024,12:45 PM,7.49,7.7,7.49,7.7,16162
12/27/2024,1:00 PM,7.61,7.65,7.59,7.6482,7498
12/27/2024,1:15 PM,7.61,7.7341,7.51,7.6001,23578
12/27/2024,1:30 PM,7.64,7.67,7.49,7.57,61321
12/27/2024,1:45 PM,7.6,8.05,7.5526,7.875,88379
12/27/2024,2:00 PM,7.85,7.9,7.6,7.6,39018
12/27/2024,2:15 PM,7.72,7.72,7.4,7.45,24581
12/27/2024,2:30 PM,7.46,7.65,7.2,7.2576,74295
12/27/2024,2:45 PM,7.25,8.1,7.24,7.6307,75400
12/27/2024,3:00 PM,7.74,7.8,7.5,7.8,10509
12/27/2024,3:15 PM,7.83,7.97,7.7,7.795,16083
12/27/2024,3:30 PM,7.75,7.92,7.65,7.72,38107
12/27/2024,3:45 PM,7.74,7.8067,7.36,7.43,37794
12/27/2024,4:00 PM,7.36,7.85,7.3,7.81,46988
12/30/2024,9:45 AM,7.4,7.4953,6.07,6.55,210563
12/30/2024,10:00 AM,6.6,6.94,6.05,6.47,96633
12/30/2024,10:15 AM,6.67,6.67,6.46,6.64,39149
12/30/2024,10:30 AM,6.595,6.94,6.34,6.41,57609
12/30/2024,10:45 AM,6.455,6.664,6.2,6.65,143390
12/30/2024,11:00 AM,6.66,6.89,6.63,6.89,22902
12/30/2024,11:15 AM,6.8675,7.18,6.77,7.18,64327
12/30/2024,11:30 AM,7.18,7.59,7.01,7.51,51635
12/30/2024,11:45 AM,7.51,7.51,7.1101,7.25,16811
12/30/2024,12:00 PM,7.39,7.44,7.2501,7.4,11676
12/30/2024,12:15 PM,7.4,7.59,7.4,7.45,16112
12/30/2024,12:30 PM,7.5,7.66,7.41,7.66,14874
12/30/2024,12:45 PM,7.5363,8.1,7.5363,7.71,74095
12/30/2024,1:00 PM,7.82,7.97,7.82,7.91,30581
12/30/2024,1:15 PM,7.84,8.39,7.68,8.38,38583
12/30/2024,1:30 PM,8.195,8.3732,7.84,7.9538,23060
12/30/2024,1:45 PM,7.95,7.95,7.6401,7.695,20132
12/30/2024,2:00 PM,7.7005,7.75,7.51,7.74,23252
12/30/2024,2:15 PM,7.74,7.75,7.55,7.6,8981
12/30/2024,2:30 PM,7.65,7.68,7.56,7.56,2922
12/30/2024,2:45 PM,7.7,7.75,7.65,7.68,29262
12/30/2024,3:00 PM,7.6741,7.75,7.6201,7.633,6198
12/30/2024,3:15 PM,7.63,7.73,7.5,7.56,28337
12/30/2024,3:30 PM,7.57,7.6,7.1543,7.1543,29572
12/30/2024,3:45 PM,7.14,7.27,7.02,7.16,97777
12/30/2024,4:00 PM,7.19,7.45,7.17,7.37,57702
12/31/2024,9:45 AM,7.75,7.75,6.52,7.4,145093
12/31/2024,10:00 AM,7.4,7.72,7.3306,7.61,94847
12/31/2024,10:15 AM,7.6173,7.62,7.1,7.3253,31460
12/31/2024,10:30 AM,7.4,7.45,7.2101,7.351,29290
12/31/2024,10:45 AM,7.35,7.55,7.35,7.51,41068
12/31/2024,11:00 AM,7.51,7.51,7,7.12,48392
12/31/2024,11:15 AM,7.1,7.12,6.78,7.05,78491
12/31/2024,11:30 AM,7.05,7.14,6.58,6.66,30962
12/31/2024,11:45 AM,6.66,6.9211,6.64,6.9101,18533
12/31/2024,12:00 PM,6.99,7.19,6.9006,7.19,20155
12/31/2024,12:15 PM,7.1,7.13,7.06,7.11,9704
12/31/2024,12:30 PM,7.0684,7.16,6.91,6.9506,2528
12/31/2024,12:45 PM,6.95,7.1,6.85,6.91,20656
12/31/2024,1:00 PM,7,7.09,6.95,7.0899,12294
12/31/2024,1:15 PM,7.0112,7.03,7,7.03,1350
12/31/2024,1:30 PM,7.03,7.03,6.8,6.965,14589
12/31/2024,1:45 PM,6.92,6.92,6.6,6.705,32246
12/31/2024,2:00 PM,6.71,6.79,6.5803,6.5803,20503
